prod_id,prod_name_kor,prod_name_eng,func_txt,desc_txt,price,is_discount,discount,capacity,specification,use_period,use_method,manufacturer,release_date,edit_date,category_id
1,"로즈마리 리커버리 샴푸 ","rosemary recovery","지복합,출산탈모,로즈마리향,모근강화,",...,42000,N,0,500,"주요 사항 텍스트",12개월,"사용 방법",유씨엘㈜,"2024-10-01 00:00:00","2024-10-01 00:00:00",8
2,"아르간 리페어 샴푸 ","argan repair","극손상,모발영양,허브향,윤기보습,",...,43000,N,0,400,"주요 사항 텍스트",13개월,"사용 방법",코스맥스㈜,"2024-10-02 00:00:00","2024-10-01 00:00:00",8
3,"떼르말 세라마이드 헤드 스파 샴푸 ","thermal ceramide","민감성,청소년비듬,시트러스향,헤드스파,",...,40000,N,0,300,"주요 사항 텍스트",14개월,"사용 방법",유씨엘㈜,"2024-10-03 00:00:00","2024-10-01 00:00:00",8
4,"떼르말 세라마이드 스칼프 & 헤어 팩 ","thermal ceramide","민감성,청소년비듬,시트러스향,헤드스파,",...,42000,N,0,500,"주요 사항 텍스트",15개월,"사용 방법",코스맥스㈜,"2024-10-04 00:00:00","2024-10-01 00:00:00",9
5,"아르간 트리트먼트 헤어 팩 ","argan treatment","극손상,모발영양,허브향,윤기보습,",...,45000,N,0,400,"주요 사항 텍스트",16개월,"사용 방법",유씨엘㈜,"2024-10-05 00:00:00","2024-10-01 00:00:00",9
6,"로즈마리 리커버리 헤어 트리트먼트 ","rosemary recovery","지복합,출산탈모,로즈마리향,모근강화,",...,45000,N,0,300,"주요 사항 텍스트",17개월,"사용 방법",코스맥스㈜,"2024-10-06 00:00:00","2024-10-01 00:00:00",9
7,"떼르말 세라마이드 헤어 젤 ","thermal ceramide","민감성,볼륨탄력,시트러스향,스타일링,",...,26000,N,0,500,"주요 사항 텍스트",18개월,"사용 방법",유씨엘㈜,"2024-10-07 00:00:00","2024-10-01 00:00:00",10
8,"아르간 리페어 헤어 에센스 ","argan repair","극손상,모발영양,레몬향,윤기보습,",...,25000,N,0,400,"주요 사항 텍스트",19개월,"사용 방법",코스맥스㈜,"2024-10-08 00:00:00","2024-10-01 00:00:00",10
9,"레몬 비타민 페이스 & 바디 워시 ","lemon vitamin","여드름,피지각질,레몬향,유수분밸런싱,",...,38000,N,0,300,"주요 사항 텍스트",20개월,"사용 방법",유씨엘㈜,"2024-10-09 00:00:00","2024-10-01 00:00:00",11
10,"레몬 버베나 히알루론 페이스&바디 워시 +(랜덤)인견 때타올","lemon verbena hyaluron","극건성,속당김,레몬향,이중속보습,",...,38000,N,0,500,"주요 사항 텍스트",21개월,"사용 방법",코스맥스㈜,"2024-10-10 00:00:00","2024-10-01 00:00:00",11
